surrogate,alpha,arm,horizon,seed,n_samples,rel_welfare_loss,gain_estimator_err,max_min_ratio,bundle_envy,outcome_envy,mean_outcome,law_predicted_loss
strong,0.25,learned,8,2,192,5.7884455262030565e-05,0.005049553557383897,0.26992472602961876,1.2034471518049144,1.612561365858119,0.11300124165898935,nan
strong,0.25,learned_robust,8,2,192,7.113657478597576e-05,0.005485245570103138,0.2709614061499732,1.1940164272035694,1.6034483976740288,0.11297300661659876,nan
strong,0.5,plugin,8,0,192,2.963620334163012e-06,0.0021201305965775756,0.4735181220783134,0.414074470469369,0.8208951692250873,0.11046990132599545,2.9664208724448295e-06
strong,0.5,shrunk,8,0,192,2.963620334163012e-06,0.0021201305965775756,0.4735181220783134,0.414074470469369,0.8208951692250873,0.11046990132599545,nan
strong,0.5,smoothed,8,0,192,8.857946502651565e-06,0.004000835932353494,0.478518066302512,0.4012361772393489,0.8082953950782622,0.11042821325008963,nan
strong,0.5,uniform,8,0,192,0.004048873761548473,0.09044670223399691,0.6708571542233678,0.0,0.4163620248938759,0.10912077438555882,nan
strong,0.5,persistence,8,0,192,0.004534974257353024,0.09983239226403162,0.5023653495763405,0.44238921442936857,0.7551421185051943,0.10989340226272004,nan
strong,0.5,learned,8,0,192,1.2949237550011436e-05,0.004797584586749593,0.47388905172780005,0.4145903582921173,0.8212910806762362,0.11047486459026068,nan
strong,0.5,learned_robust,8,0,192,1.2834343719739355e-05,0.004746464610705105,0.47313751249099073,0.41694528213473364,0.8235712743617517,0.11048432614833975,nan
strong,0.5,plugin,8,1,192,2.963620334163012e-06,0.0021201305965775756,0.4735181220783134,0.414074470469369,0.8208951692250873,0.11046990132599545,2.9664208724448295e-06
strong,0.5,shrunk,8,1,192,2.963620334163012e-06,0.0021201305965775756,0.4735181220783134,0.414074470469369,0.8208951692250873,0.11046990132599545,nan
strong,0.5,smoothed,8,1,192,8.857946502651565e-06,0.004000835932353494,0.478518066302512,0.4012361772393489,0.8082953950782622,0.11042821325008963,nan
