scenario,field,regime,coverage_nominal_pct,modes,coverage_actual_pct,n_obs,n_dof,obs_per_dof,n_modes_constrained,constrained_frac,best_rcond,rcond_spread,n_masks,vrmse,vrmse_sd,vrmse_oracle,sparsity_penalty,sparsity_penalty_sd
spots,B,blocks,10.0,16,10.15625,1664,1089,1.5280073461891643,311,0.28558310376492196,0.1,2784.72019275401,3,1.1820304637954457,0.005369908142773002,0.2615385291886721,0.9204919346067738,0.005369908142773002
worms,A,blocks,10.0,16,10.15625,1664,1089,1.5280073461891643,484,0.4444444444444444,0.01,1497.8089931363713,3,2.6631608883237488,0.02880602839259813,0.2365762019631167,2.426584686360632,0.02880602839259813
worms,B,blocks,10.0,16,10.15625,1664,1089,1.5280073461891643,311,0.28558310376492196,0.1,2812.7253040937176,3,1.144130418463089,0.0036686695862042213,0.3351919345254527,0.8089384839376362,0.0036686695862042213
bubbles,A,blocks,5.0,16,5.078125,832,1089,0.7640036730945822,274,0.2516069788797062,0.01,1449.610375065373,3,6.119622520591977,0.0353420137665211,0.2434478710403647,5.876174649551611,0.0353420137665211
bubbles,B,blocks,5.0,16,5.078125,832,1089,0.7640036730945822,168,0.15426997245179064,0.1,2875.7684955383215,3,1.0017085686868326,0.011633323362255128,0.3233261695706953,0.6783823991161372,0.011633323362255137
gliders,A,blocks,5.0,16,5.078125,832,1089,0.7640036730945822,274,0.2516069788797062,0.01,282.9101298730661,3,3.2057950374477038,0.013373326783445784,0.10261035442513168,3.1031846830225724,0.013373326783445784
gliders,B,blocks,5.0,16,5.078125,832,1089,0.7640036730945822,168,0.15426997245179064,0.1,1002.841247361874,3,1.0952200095231757,0.004458541706501471,0.2460299144705538,0.8491900950526219,0.004458541706501471
maze,A,blocks,5.0,16,5.078125,832,1089,0.7640036730945822,274,0.2516069788797062,0.01,509.867639487333,3,2.982231654179239,0.00478159489884991,0.19757140485628003,2.784660249322959,0.00478159489884991
maze,B,blocks,5.0,16,5.078125,832,1089,0.7640036730945822,274,0.2516069788797062,0.01,1117.208471876728,3,1.6866999740894875,0.014607610653201713,0.24253495583884688,1.4441650182506407,0.014607610653201725
spirals,A,blocks,5.0,16,5.078125,832,1089,0.7640036730945822,274,0.2516069788797062,0.01,358.4907191245431,3,2.386675972923291,0.023983929719784053,0.1310432304778304,2.255632742445461,0.02398392971978415
spirals,B,blocks,5.0,16,5.078125,832,1089,0.7640036730945822,168,0.15426997245179064,0.1,1146.5075071724716,3,1.2827624839123597,0.005574503981148101,0.28376586866410064,0.998996615248259,0.005574503981148101
spots,A,blocks,5.0,16,5.078125,832,1089,0.7640036730945822,274,0.2516069788797062,0.01,741.0128857545097,3,3.2555953254899883,0.003041777318909955,0.20374030409797217,3.0518550213920155,0.003041777318909842
spots,B,blocks,5.0,16,5.078125,832,1089,0.7640036730945822,168,0.15426997245179064,0.1,1635.0913056787995,3,1.2773053048007144,0.0006308678991713616,0.2615385291886721,1.0157667756120423,0.0006308678991713616
worms,A,blocks,5.0,16,5.078125,832,1089,0.7640036730945822,274,0.2516069788797062,0.01,766.9291942972646,3,3.0416925438323346,0.013731656468899817,0.2365762019631167,2.8051163418692178,0.013731656468899817
worms,B,blocks,5.0,16,5.078125,832,1089,0.7640036730945822,168,0.15426997245179064,0.1,1597.5118183052637,3,1.19790704268915,0.001805384897941812,0.3351919345254527,0.8627151081636973,0.001805384897941812
bubbles,A,blocks,2.0,16,1.953125,320,1089,0.2938475665748393,104,0.09550045913682277,0.01,344.17980030365646,3,6.9554153759600865,0.010077162578410325,0.2434478710403647,6.7119675049197225,0.010077162578410325
bubbles,B,blocks,2.0,16,1.953125,320,1089,0.2938475665748393,63,0.05785123966942149,0.1,719.7631589949359,3,1.0279499265039478,0.003861701543892869,0.3233261695706953,0.7046237569332526,0.003861701543892869
gliders,A,blocks,2.0,16,1.953125,320,1089,0.2938475665748393,104,0.09550045913682277,0.01,128.650390845031,3,3.661340467219435,0.010786489659476331,0.10261035442513168,3.558730112794303,0.010786489659476333
gliders,B,blocks,2.0,16,1.953125,320,1089,0.2938475665748393,63,0.05785123966942149,0.1,492.62923159657333,3,1.130815379140161,0.003371862497447591,0.2460299144705538,0.8847854646696072,0.003371862497447591
maze,A,blocks,2.0,16,1.953125,320,1089,0.2938475665748393,104,0.09550045913682277,0.01,279.43244095480645,3,3.3920471286812863,0.00888892998658585,0.19757140485628003,3.1944757238250063,0.00888892998658585
maze,B,blocks,2.0,16,1.953125,320,1089,0.2938475665748393,104,0.09550045913682277,0.01,631.4125702565021,3,1.8381765302606439,0.006057003249989159,0.24253495583884688,1.5956415744217969,0.006057003249989159
spirals,A,blocks,2.0,16,1.953125,320,1089,0.2938475665748393,104,0.09550045913682277,0.01,176.77904337917403,3,2.6507333173073313,0.011221732282686489,0.1310432304778304,2.519690086829501,0.011221732282686496
spirals,B,blocks,2.0,16,1.953125,320,1089,0.2938475665748393,63,0.05785123966942149,0.1,594.3578837991009,3,1.3483562999571144,0.004146021576698719,0.28376586866410064,1.064590431293014,0.004146021576698719
