arm,seed,test_vrmse,test_mse,valid_mse,bound_violation,best_epoch,n_parameters,p,shortcut_fraction,lambda_1,beta,advantage
identity,2,0.2575347607476022,0.00012482627062126994,8.89529873016645e-05,0.007802680134773254,38,4913,0.25,0.21875,4.2932889902198035,0.05590119848599167,0.0
lattice,2,0.3483336351646559,0.00022836265270598233,0.0001689608555813548,0.006974868476390839,40,4913,0.25,0.21875,4.2932889902198035,0.05590119848599167,-0.35256939355864847
rewired,2,0.2930580814400805,0.00016163733380381018,0.0001222043685262542,0.01747675985097885,39,4913,0.25,0.21875,4.2932889902198035,0.05590119848599167,-0.1379360230415383
true,2,0.25269703731097765,0.00012018064444418997,9.827382257093804e-05,0.013271614909172058,39,4913,0.25,0.21875,4.2932889902198035,0.05590119848599167,0.018784739670019812
identity,0,0.29402765068747133,0.00015813963545951992,0.00014654970883969492,0.009423013776540756,39,4913,0.5,0.40625,4.311975791024774,0.055658939574649645,0.0
lattice,0,0.2564619888474714,0.00012031239020870999,0.00011225907749425534,0.013144716620445251,40,4913,0.5,0.40625,4.311975791024774,0.055658939574649645,0.12776234395699515
rewired,0,0.20374942686507608,7.593764894409105e-05,7.52571884520748e-05,0.0038881003856658936,40,4913,0.5,0.40625,4.311975791024774,0.055658939574649645,0.30703991142096365
true,0,0.17000426599272653,5.2866918849758804e-05,4.32097814777056e-05,0.012106910347938538,40,4913,0.5,0.40625,4.311975791024774,0.055658939574649645,0.42180857618242196
identity,1,0.26989220018590315,0.00013143959222361445,0.00010272255587072781,0.012224845588207245,40,4913,0.5,0.5,4.281726421749729,0.05605215662095569,0.0
lattice,1,0.2829509168187458,0.00014446669956669211,0.00011001655139645464,0.012314297258853912,34,4913,0.5,0.5,4.281726421749729,0.05605215662095569,-0.04838493525877263
rewired,1,0.2684653049791372,0.00013005344953853637,0.00010048751151069975,0.012221183627843857,37,4913,0.5,0.5,4.281726421749729,0.05605215662095569,0.005286907905390104
true,1,0.22921699182614536,9.480673907091841e-05,6.300443276191603e-05,0.011655371636152267,40,4913,0.5,0.5,4.281726421749729,0.05605215662095569,0.15070909174752178
identity,2,0.24822186126895301,0.00011462821566965431,9.87779706625141e-05,0.011776149272918701,39,4913,0.5,0.3125,4.337033106489555,0.05533736868203406,0.0
lattice,2,0.3239291722917095,0.0001952142920345068,0.00016111960528881661,0.01069139689207077,39,4913,0.5,0.3125,4.337033106489555,0.05533736868203406,-0.30499856312303675
rewired,2,0.2702599825814576,0.00013588608999270946,0.00011482368139178914,0.010221078991889954,40,4913,0.5,0.3125,4.337033106489555,0.05533736868203406,-0.08878396608518657
true,2,0.2519760992958585,0.00011812183947768062,9.909282533383112e-05,0.016745150089263916,39,4913,0.5,0.3125,4.337033106489555,0.05533736868203406,-0.015124526130426919
identity,0,0.28741210247515264,0.00014871463645249605,0.0001336012836115986,0.0,39,4913,0.75,0.65625,4.5208391578537945,0.05308748920718884,0.0
lattice,0,0.28483555826096907,0.0001460602506995201,0.00013712945849005137,0.00557013601064682,34,4913,0.75,0.65625,4.5208391578537945,0.05308748920718884,0.008964633681027179
rewired,0,0.2476055497903817,0.00011037338117603213,0.00010442403106007838,0.0066834427416324615,40,4913,0.75,0.65625,4.5208391578537945,0.05308748920718884,0.13849991820790597
true,0,0.17507944464507882,5.5184096709126607e-05,4.972609456290164e-05,0.010812081396579742,39,4913,0.75,0.65625,4.5208391578537945,0.05308748920718884,0.39084178036582573
identity,1,0.2947825796453697,0.00016528273408766836,0.0001323046169631798,0.006253965198993683,39,4913,0.75,0.71875,4.388030341539039,0.054694243503298885,0.0
lattice,1,0.27405555067689646,0.00014285683573689312,0.000113232993648675,0.00925850123167038,40,4913,0.75,0.71875,4.388030341539039,0.054694243503298885,0.07031293705824926
rewired,1,0.26366845585191756,0.0001322331081610173,9.042879670263448e-05,0.00014780834317207336,40,4913,0.75,0.71875,4.388030341539039,0.054694243503298885,0.10554939790160989
true,1,0.2123334415532774,8.57552295201458e-05,5.5529568490757226e-05,0.00578916072845459,40,4913,0.75,0.71875,4.388030341539039,0.054694243503298885,0.27969474380501225
identity,2,0.2655832670299305,0.00012492419045884162,0.0001075655321670312,0.005498424172401428,40,4913,0.75,0.65625,4.434039772537853,0.05412671340623414,0.0
lattice,2,0.30525402802516177,0.00016503193182870746,0.00015114638832790253,0.011153556406497955,39,4913,0.75,0.65625,4.434039772537853,0.05412671340623414,-0.14937221549714752
rewired,2,0.2920931643628584,0.00015110817912500352,0.0001359912472218035,0.012048095464706421,39,4913,0.75,0.65625,4.434039772537853,0.05412671340623414,-0.09981764901604406
true,2,0.23087320498301458,9.44043931667693e-05,8.36709719397121e-05,0.020468078553676605,39,4913,0.75,0.65625,4.434039772537853,0.05412671340623414,0.13069370836154448
identity,0,0.2982613337423817,0.00015670445282012224,0.00012723223554452176,0.0030260421335697174,39,4913,1.0,0.78125,4.445387407168134,0.053988545433183814,0.0
lattice,0,0.272293124199709,0.0001306052872678265,0.00011246649690091313,0.0036399438977241516,40,4913,1.0,0.78125,4.445387407168134,0.053988545433183814,0.08706529008249608
rewired,0,0.2214473146127553,8.638299914309755e-05,7.939439776366225e-05,0.003476787358522415,39,4913,1.0,0.78125,4.445387407168134,0.053988545433183814,0.2575393134799472
true,0,0.17307143345903003,5.276406591292471e-05,4.301635111422858e-05,0.005450848489999771,40,4913,1.0,0.78125,4.445387407168134,0.053988545433183814,0.41973224860411296
identity,1,0.2918994132391202,0.0001499704667367041,0.00011910092300107478,0.009302131831645966,40,4913,1.0,0.78125,4.582209173410448,0.05237648280935475,0.0
