surrogate,alpha,arm,horizon,seed,n_samples,rel_welfare_loss,gain_estimator_err,max_min_ratio,bundle_envy,outcome_envy,mean_outcome,law_predicted_loss
strong,2.0,learned,16,2,144,2.4342302919038345e-05,0.0058192778247930345,0.8318089423207725,0.18704100563172427,0.18795730667334454,0.113506723710126,nan
strong,2.0,learned_robust,16,2,144,2.2063198174736287e-05,0.005446373576655148,0.8322685521208213,0.18767517494150587,0.1872794560162421,0.11350395673725384,nan
strong,4.0,plugin,1,0,240,3.0105813369272576e-06,0.0009877984739168411,0.8921569609421288,0.3503295417496665,0.11599112023098734,0.09527243265928108,3.0087333147608004e-06
strong,4.0,shrunk,1,0,240,3.0105813369272576e-06,0.0009877984739168411,0.8921569609421288,0.3503295417496665,0.11599112023098734,0.09527243265928108,nan
strong,4.0,smoothed,1,0,240,3.738769913148125e-05,0.0038230424108309704,0.8824533791985537,0.33922171503690923,0.12724958061433972,0.09530605005891675,nan
strong,4.0,uniform,1,0,240,0.02119681839083425,0.10205577406303998,0.6444972487946347,0.0,0.47111283347883304,0.09633997139743694,nan
strong,4.0,persistence,1,0,240,0.000623705830339182,0.01590770101443319,0.8811201230864363,0.3508662055621983,0.12915604562469174,0.09527670726655563,nan
strong,4.0,learned,1,0,240,0.000233239775559931,0.008128212697663088,0.8833987069290609,0.3453759423896025,0.1264672746797774,0.09528335558148218,nan
strong,4.0,learned_robust,1,0,240,0.00023950410381146602,0.008271240933776866,0.8849255527200008,0.3471568024663891,0.12461516955041846,0.09527547522340672,nan
strong,4.0,plugin,2,0,228,8.073888753677144e-06,0.0015776841459994304,0.8921923334807382,0.35056265653374213,0.11580213297033842,0.09827455066377953,8.061417152221538e-06
strong,4.0,shrunk,2,0,228,8.073888753677144e-06,0.0015776841459994304,0.8921923334807382,0.35056265653374213,0.11580213297033842,0.09827455066377953,nan
strong,4.0,smoothed,2,0,228,4.123160511613484e-05,0.003972883330916259,0.8825878051788646,0.33939669284224006,0.12690263756487752,0.09830898890345773,nan
strong,4.0,uniform,2,0,228,0.021376993038202764,0.10135008354865832,0.6457458758127619,0.0,0.4668073329961366,0.09936467317772178,nan
strong,4.0,persistence,2,0,228,0.0022481757777428925,0.03044025851462886,0.8548672867688891,0.3467891454081593,0.1611405194205377,0.0983090555596458,nan
strong,4.0,learned,2,0,228,0.00019970820932688888,0.007445867695347727,0.8852300038066834,0.3465056736870627,0.12402750795926548,0.09828262608609484,nan
strong,4.0,learned_robust,2,0,228,0.00020462015626984443,0.007555457884812255,0.8869008334642713,0.3484422945785305,0.1220226695393844,0.09827430185300083,nan
strong,4.0,plugin,4,0,216,1.3305104393259962e-05,0.0019756838999352233,0.8927654979974973,0.34593918463378126,0.1149515473513669,0.1015501403667191,1.3261902852436919e-05
strong,4.0,shrunk,4,0,216,1.3305104393259962e-05,0.0019756838999352233,0.8927654979974973,0.34593918463378126,0.1149515473513669,0.1015501403667191,nan
strong,4.0,smoothed,4,0,216,4.5979831474800024e-05,0.0040962690198531986,0.8833965333742063,0.3347184007473691,0.1257247145298406,0.10158495071219752,nan
strong,4.0,uniform,4,0,216,0.021177241009088563,0.09917762022391831,0.6509624711799005,0.0,0.45524565394484945,0.10264744283649806,nan
strong,4.0,persistence,4,0,216,0.0076247488451474076,0.056772187188489455,0.7886700647984942,0.3378034568447377,0.2426837921643953,0.10168967152607061,nan
strong,4.0,learned,4,0,216,0.0001478072882936629,0.006456254438608144,0.8890963745978774,0.3443269483512222,0.11908155509775707,0.1015521465845693,nan
strong,4.0,learned_robust,4,0,216,0.00015093760794893725,0.006507729012459738,0.8908829626459217,0.3463721867835056,0.11695123674280668,0.10154336289980845,nan
strong,4.0,plugin,8,0,192,1.4801626587593203e-05,0.0021201305965775786,0.8986419587980375,0.32363765247142257,0.10790436577521123,0.10808872080199254,1.4810967566747477e-05
strong,4.0,shrunk,8,0,192,1.4801626587593203e-05,0.0021201305965775786,0.8986419587980375,0.32363765247142257,0.10790436577521123,0.10808872080199254,nan
strong,4.0,smoothed,8,0,192,4.4741358929019946e-05,0.0040008359323535,0.8898492822200298,0.31279779662750734,0.1178844130716687,0.10812215551127007,nan
strong,4.0,uniform,8,0,192,0.019009319922736488,0.09044670223399691,0.6708571542233678,0.0,0.4163620248938759,0.10912077438555882,nan
strong,4.0,persistence,8,0,192,0.021925095313829857,0.09983239226403162,0.6726871340980827,0.3210021062226012,0.3949453305106865,0.10854873793676546,nan
