family,scenario,field,segment,window,bin,freq_rel_nyquist,period_steps,period_time_units,share,cumulative_share,ar1_null_share
Turbulent radiative layer 2D,tcool_0.03,density,full,boxcar,22,0.44,4.590909090909091,7.331833318181818,0.007702956373686003,0.8625132781856505,0.00880036027587962
Turbulent radiative layer 2D,tcool_0.03,density,full,boxcar,23,0.46,4.391304347826087,7.013057956521739,0.008682155000071802,0.8711954331857222,0.008216535078114921
Turbulent radiative layer 2D,tcool_0.03,density,full,boxcar,24,0.48,4.208333333333333,6.720847208333333,0.007951243307997168,0.8791466764937194,0.007701134492849331
Turbulent radiative layer 2D,tcool_0.03,density,full,boxcar,25,0.5,4.04,6.45201332,0.007734070053643982,0.8868807465473634,0.007244498265382187
Turbulent radiative layer 2D,tcool_0.03,density,full,boxcar,26,0.52,3.8846153846153846,6.203858961538462,0.006643346401060328,0.8935240929484238,0.0068386123360453755
Turbulent radiative layer 2D,tcool_0.03,density,full,boxcar,27,0.54,3.740740740740741,5.974086407407407,0.005895893405626962,0.8994199863540507,0.006476791384446938
Turbulent radiative layer 2D,tcool_0.03,density,full,boxcar,28,0.56,3.607142857142857,5.760726178571429,0.005670486622661226,0.905090472976712,0.00615342936664942
Turbulent radiative layer 2D,tcool_0.03,density,full,boxcar,29,0.58,3.4827586206896552,5.562080448275862,0.0051537000923314105,0.9102441730690434,0.005863802267344165
Turbulent radiative layer 2D,tcool_0.03,density,full,boxcar,30,0.6,3.3666666666666667,5.376677766666666,0.0054645043830047245,0.9157086774520481,0.005603911194553299
Turbulent radiative layer 2D,tcool_0.03,density,full,boxcar,31,0.62,3.2580645161290325,5.203236548387097,0.005676079560255008,0.921384757012303,0.005370356835383194
Turbulent radiative layer 2D,tcool_0.03,density,full,boxcar,32,0.64,3.15625,5.04063540625,0.00501759099233318,0.9264023480046362,0.0051602384401757675
Turbulent radiative layer 2D,tcool_0.03,density,full,boxcar,33,0.66,3.0606060606060606,4.887888878787878,0.004895945464392141,0.9312982934690284,0.0049710721072638185
Turbulent radiative layer 2D,tcool_0.03,density,full,boxcar,34,0.68,2.9705882352941178,4.74412744117647,0.004795915153661124,0.9360942086226894,0.004800724345425458
Turbulent radiative layer 2D,tcool_0.03,density,full,boxcar,35,0.7,2.8857142857142857,4.6085809428571425,0.004521013417432804,0.9406152220401223,0.0046473578007219405
Turbulent radiative layer 2D,tcool_0.03,density,full,boxcar,36,0.72,2.8055555555555554,4.480564805555556,0.004096259655037955,0.9447114816951602,0.004509386724956283
Turbulent radiative layer 2D,tcool_0.03,density,full,boxcar,37,0.74,2.72972972972973,4.3594684594594595,0.004157404006790205,0.9488688857019505,0.004385440290262179
Turbulent radiative layer 2D,tcool_0.03,density,full,boxcar,38,0.76,2.6578947368421053,4.244745605263158,0.004048796121752122,0.9529176818237026,0.004274332259256699
Turbulent radiative layer 2D,tcool_0.03,density,full,boxcar,39,0.78,2.58974358974359,4.135905974358974,0.004628507725238759,0.9575461895489414,0.004175035832957708
