seed,ky,kx,radius,pole_margin,exact_margin,error_growth,final_error
1,-3,2,3.605551275463989,-0.05322473583805264,-0.05011908484928189,0.0685054999940534,0.05951386317610741
1,-3,3,4.242640687119285,-0.0723866230936504,-0.0693956559451595,0.03465885204427372,0.021860171109437943
1,-3,4,5.0,-0.09971948884508544,-0.09638285547938827,0.08784735378097068,0.04652561619877815
1,-3,5,5.830951894845301,-0.1343800063879428,-0.13108068345196808,0.10932445280692141,0.10282117128372192
1,-2,0,2.0,-0.019013629776706186,-0.015421256876702224,0.045961385614731634,0.04417248070240021
1,-2,1,2.23606797749979,-0.02273346603810755,-0.019276571095877625,0.030487688499338333,0.04221155121922493
1,-2,2,2.8284271247461903,-0.033092565876785204,-0.030842513753404247,0.05456709370893578,0.04068414121866226
1,-2,3,3.605551275463989,-0.05282936817523239,-0.05011908484928189,0.021516359904232934,0.021271150559186935
1,-2,4,4.47213595499958,-0.08007061219088689,-0.07710628438351075,0.06542153323397902,0.04160608351230621
1,-2,5,5.385164807134504,-0.11580102503312432,-0.11180411235609042,0.06649577196906575,0.04242163151502609
1,-1,0,1.0,-0.008726149584976427,-0.003855314219175528,0.01581050087423871,0.0288997832685709
1,-1,1,1.4142135623730951,-0.011740417863271842,-0.0077106284383510445,0.05003787454436789,0.03621874004602432
1,-1,2,2.23606797749979,-0.02261753072159766,-0.019276571095877625,-0.02268197571530079,0.016171369701623917
1,-1,3,3.1622776601683795,-0.04202202674370126,-0.038553142191755325,0.027901787968242737,0.03550679609179497
1,-1,4,4.123105625617661,-0.068018923659861,-0.06554034172598407,0.0910533203798181,0.08710910379886627
1,-1,5,5.0990195135927845,-0.10250839154375568,-0.10023816969856372,0.09405341639238236,0.0566912405192852
1,0,0,0.0,-0.004461726354668199,-1.1102230246251565e-16,-0.00021444944774409605,0.054216913878917694
1,0,1,1.0,-0.007798852605362393,-0.003855314219175528,0.05399001205668728,0.06338129937648773
1,0,2,2.0,-0.019010525320455048,-0.015421256876702224,0.01961179130217608,0.024389412254095078
1,0,3,3.0,-0.03814638250622224,-0.03469782797257986,0.0389844743644489,0.04088684916496277
1,0,4,4.0,-0.06526822217330007,-0.06168502750680854,0.05825642943382249,0.046072740107774734
1,0,5,5.0,-0.1003237398577517,-0.09638285547938827,0.08061869179501231,0.055496275424957275
1,0,6,6.0,-0.1426530311573939,-0.13879131189031926,0.08453130161060993,0.1322062909603119
1,1,0,1.0,-0.008722504353890003,-0.003855314219175528,0.01581050087423871,0.0288997832685709
1,1,1,1.4142135623730951,-0.011358992782166392,-0.0077106284383510445,0.030572552891338582,0.044715408235788345
1,1,2,2.23606797749979,-0.023297513085931653,-0.019276571095877625,0.05541396877344913,0.048061732202768326
1,1,3,3.1622776601683795,-0.04170152385412949,-0.038553142191755325,0.07411047079983867,0.038091666996479034
1,1,4,4.123105625617661,-0.06731576479583531,-0.06554034172598407,0.06787039111642265,0.05463850498199463
1,1,5,5.0990195135927845,-0.10087356879542456,-0.10023816969856372,0.13097414163982163,0.10681705921888351
1,2,0,2.0,-0.0190175337802837,-0.015421256876702224,0.045961385614731634,0.04417248070240021
1,2,1,2.23606797749979,-0.021775672091762142,-0.019276571095877625,0.05666271202704475,0.05981207266449928
1,2,2,2.8284271247461903,-0.03459356498909467,-0.030842513753404247,0.037945718625012476,0.033150430768728256
1,2,3,3.605551275463989,-0.053320918010779685,-0.05011908484928189,0.07638398479012867,0.08059181272983551
1,2,4,4.47213595499958,-0.08020913475478873,-0.07710628438351075,0.09496475107529583,0.07553858309984207
1,2,5,5.385164807134504,-0.11408030781321768,-0.11180411235609042,0.05088734100846676,0.034960951656103134
1,3,0,3.0,-0.03790120764666143,-0.03469782797257986,0.031771194934844836,0.03662785515189171
1,3,1,3.1622776601683795,-0.04066125148743467,-0.038553142191755325,0.08961671660928154,0.040180400013923645
1,3,2,3.605551275463989,-0.051803770398769176,-0.05011908484928189,0.0635139672195209,0.058404263108968735
1,3,3,4.242640687119285,-0.07185735022048562,-0.0693956559451595,0.07520876667078798,0.05168336629867554
1,3,4,5.0,-0.10023513645253262,-0.09638285547938827,0.06592956290525537,0.0716492235660553
1,3,5,5.830951894845301,-0.1336352950328939,-0.13108068345196808,0.14282742282923505,0.06252497434616089
1,4,0,4.0,-0.06300890762926026,-0.06168502750680854,0.09855946898460378,0.07396858185529709
1,4,1,4.123105625617661,-0.06812574842278048,-0.06554034172598407,0.01298249819699449,0.03243201971054077
1,4,2,4.47213595499958,-0.08094999365374594,-0.07710628438351075,0.06211132757803961,0.04529190808534622
1,4,3,5.0,-0.09878607252658901,-0.09638285547938827,0.0700673587181989,0.03209761902689934
1,4,4,5.656854249492381,-0.1250005659385983,-0.12337005501361714,0.11113690102801597,0.0969698429107666
1,5,0,5.0,-0.10176374595308556,-0.09638285547938827,0.12109743567074041,0.1839090883731842
1,5,1,5.0990195135927845,-0.0991944222003923,-0.10023816969856372,0.11751763434971066,0.10053139179944992
1,5,2,5.385164807134504,-0.11030527312002432,-0.11180411235609042,0.07915342134587902,0.07422982156276703
1,5,3,5.830951894845301,-0.1317665416934265,-0.13108068345196808,0.14421526439049645,0.0913667231798172
1,6,0,6.0,-0.17366613371156528,-0.13879131189031926,0.11812119343701527,0.3880501985549927
2,-6,0,6.0,-0.1774882764301071,-0.13879131189031926,0.11623589186107398,0.36714664101600647
2,-5,0,5.0,-0.10413396469668586,-0.09638285547938827,0.11473572008750013,0.14759033918380737
2,-5,1,5.0990195135927845,-0.1774633043806527,-0.10023816969856372,0.11897181522320299,0.6358209848403931
2,-5,2,5.385164807134504,-0.17740140227241866,-0.11180411235609042,0.12584176747237932,0.6134786605834961
2,-5,3,5.830951894845301,-0.17740284399209766,-0.13108068345196808,0.13990674983052648,0.4488373398780823
2,-4,0,4.0,-0.0658842483572329,-0.06168502750680854,0.12743919035967655,0.14493216574192047
