ky,kx,radius,rel_norm_diff,analytic_lead_magnitude,empirical_lead_magnitude,log_magnitude_gap,arm
0,5,5.0,0.4753269136211436,0.5215104629531844,0.9933009280257877,-0.6443043300775786,advection
0,6,6.0,0.4740957832365365,0.522116995213892,0.991277857654986,-0.6411031845835209,advection
1,0,1.0,0.47405907538109854,0.5260912989999075,1.0000113997593825,-0.6422919087575817,advection
1,1,1.4142135623730951,0.4754134322620857,0.5222364495262075,0.9955200544980488,-0.645144814688155,advection
1,2,2.23606797749979,0.47458416467458564,0.5218932764865611,0.993280614255594,-0.6435501007213936,advection
1,3,3.1622776601683795,0.4741119504009193,0.5227849612581736,0.9940526307362403,-0.6426199381101111,advection
1,4,4.123105625617661,0.47480753454306435,0.5201495591385469,0.9902195695427721,-0.6438103220038355,advection
1,5,5.0990195135927845,0.4735045249680449,0.5206771681409269,0.9885786674169278,-0.6411380112482916,advection
2,0,2.0,0.47452232647714926,0.5243452902569802,0.9976081308899308,-0.6432101266032807,advection
2,1,2.23606797749979,0.4758677488062212,0.5236194201146085,0.9990049015766906,-0.6459945621716553,advection
2,2,2.8284271247461903,0.47566046215831664,0.52118901826026,0.9939897389411024,-0.6456141086846461,advection
2,3,3.605551275463989,0.4749319952105194,0.5200030397604051,0.9902727134396967,-0.6441457160636912,advection
2,4,4.47213595499958,0.4760598400295926,0.5165276579752589,0.9856280339200959,-0.6461501999164957,advection
2,5,5.385164807134504,0.4752271331153334,0.5186302706486446,0.9877731083676611,-0.6442617826369254,advection
3,0,3.0,0.47381895069547086,0.5251400355528434,0.9977527644352959,-0.6418405531836067,advection
3,1,3.1622776601683795,0.47391643610658984,0.5223805800143139,0.9929552116849822,-0.6422891562648697,advection
3,2,3.605551275463989,0.4738455558750394,0.522612203100205,0.9932676562571134,-0.6421604672229434,advection
3,3,4.242640687119285,0.4735889981243556,0.5217266996763974,0.9910243383042632,-0.6415952064298056,advection
3,4,5.0,0.4742751311546594,0.5187037969167895,0.9864199017249954,-0.6427491263730521,advection
3,5,5.830951894845301,0.4731611156899751,0.5178506413903967,0.9825115941542629,-0.640425280741528,advection
4,0,4.0,0.4680018333779721,0.5308260390819616,0.9974126529616393,-0.6307302214257368,advection
4,1,4.123105625617661,0.47319675723839894,0.5209122508307014,0.9888156209120733,-0.6409262813674562,advection
4,2,4.47213595499958,0.4726062742386313,0.5234737457425259,0.9925664296376524,-0.6398070642925813,advection
4,3,5.0,0.47340082811370837,0.5198076424372015,0.9870227917913116,-0.6412343064052198,advection
4,4,5.656854249492381,0.4729188579613713,0.5195684150508284,0.9854864928981054,-0.6401369247596225,advection
5,0,5.0,0.4546344951787567,0.5360624935835118,0.9829040317142791,-0.6062607406392123,advection
5,1,5.0990195135927845,0.47314541389772274,0.5209436011160672,0.9887729515354141,-0.6408229468134762,advection
5,2,5.385164807134504,0.47283327996232943,0.5231350382625795,0.9923440665202514,-0.6402302583075618,advection
5,3,5.830951894845301,0.4739192437376908,0.5162234571453022,0.9810860392820921,-0.6421204331868396,advection
-4,0,4.0,0.47882605766469405,0.519929015253123,0.9974205995418846,-0.6514802530104121,advection
-4,1,4.123105625617661,0.4735448471994694,0.5200327269593596,0.9877164646572999,-0.6415039314143225,advection
-4,2,4.47213595499958,0.4728400768031174,0.5232954877323902,0.9924877702516616,-0.6400683996964928,advection
-4,3,5.0,0.4746918597055648,0.5160185784185716,0.9819170465168319,-0.6433640612503254,advection
-4,4,5.656854249492381,0.47507652808659245,0.516095120564393,0.9826323972425594,-0.643943999456192,advection
-3,0,3.0,0.47437511043645875,0.524549668981056,0.9977481105155459,-0.6429607290575504,advection
-3,1,3.1622776601683795,0.47347194896914374,0.5223955327425547,0.9921282829999465,-0.6414273899503401,advection
-3,2,3.605551275463989,0.47321639329653686,0.5212539683323656,0.98947320546613,-0.6409352996223738,advection
-3,3,4.242640687119285,0.47463115514945897,0.5172348082575443,0.9842323719608184,-0.6433650735580682,advection
-3,4,5.0,0.4752417810735114,0.5185225172474667,0.9877357102888992,-0.6444317078581169,advection
-3,5,5.830951894845301,0.47386442095787346,0.5172477294997073,0.9822429546068592,-0.6413167586488461,advection
-2,0,2.0,0.47588770087067805,0.522991005042907,0.9976092633390539,-0.6457974148009784,advection
-2,1,2.23606797749979,0.47560318866255197,0.5227291406183397,0.9968046449226071,-0.6454913735129428,advection
-2,2,2.8284271247461903,0.4749187238048984,0.5214308907800179,0.9930396884254215,-0.6441938858667081,advection
-2,3,3.605551275463989,0.47602466227858853,0.5175143535097956,0.9874735548957586,-0.6461124555585998,advection
-2,4,4.47213595499958,0.4761200396054245,0.5176717214973222,0.987786092696561,-0.646124869862547,advection
-2,5,5.385164807134504,0.4747399019105037,0.5199088373931361,0.98881971525186,-0.6428585415675331,advection
-1,0,1.0,0.47728233460324815,0.5228001659907534,1.0000034832785047,-0.6485594630012048,advection
-1,1,1.4142135623730951,0.4753894191337206,0.522491364327875,0.9959454919037489,-0.6450840729825222,advection
-1,2,2.23606797749979,0.47452089066242725,0.5224751477907893,0.9942813784868947,-0.6434428248754459,advection
