arm,ky,kx,radius,extracted_magnitude,extracted_freq,extracted_sigma,label,exact_magnitude,exact_freq,magnitude_error,freq_error
advection,-1,2,2.23606797749979,0.9942813784868947,0.031079589588643805,-0.005735035435696603,damped,0.9980741996281355,0.031249999999999997,-0.0037928211412407986,-0.00017041041135619148
advection,-1,3,3.1622776601683795,0.9893508075438957,0.046450086754005464,-0.010706300907203347,damped,0.9961521079633432,0.04687499999999999,-0.006801300419447487,-0.0004249132459945293
advection,-1,4,4.123105625617661,0.9943344996391985,0.06143285265329623,-0.005681610183589577,damped,0.99346739666433,0.06250000000000001,0.0008671029748684722,-0.0010671473467037812
advection,-1,5,5.0990195135927845,0.9873626777550734,0.07635495413390034,-0.012717852377859619,damped,0.990026254042921,0.078125,-0.0026635762878476354,-0.001770045866099662
advection,0,0,0.0,0.9929738898645155,0.0,-0.007050909477511287,damped,1.0,0.0,-0.007026110135484487,0.0
advection,0,1,1.0,0.9976392904134563,0.015593105395689555,-0.002363500454570766,resonant,0.9996145428857715,0.015625,-0.0019752524723151144,-3.189460431044476e-05
advection,0,2,2.0,0.9965823247873101,0.03165371795269141,-0.003423528805544496,resonant,0.9984590627771489,0.03125,-0.0018767379898387837,0.00040371795269140975
advection,0,3,3.0,0.994418348689285,0.04656651847756895,-0.005597286935271745,damped,0.996536229942761,0.04687499999999999,-0.002117881253476006,-0.0003084815224310422
advection,0,4,4.0,0.9913418120640092,0.061753890732401416,-0.00869588781129898,damped,0.9938504834036372,0.0625,-0.0025086713396280658,-0.0007461092675985839
advection,0,5,5.0,0.9933009280257877,0.07693813776452174,-0.0067216114757626295,damped,0.9904080138578515,0.078125,0.0028929141679362447,-0.0011868622354782588
advection,0,6,6.0,0.991277857654986,0.09267132698153274,-0.008760402866830965,damped,0.9862167399039081,0.09375,0.00506111775107787,-0.0010786730184672577
advection,1,0,1.0,1.0000113997593825,0.0005915551622705479,1.1399694405705667e-05,primary,0.9996145428857715,0.0,0.00039685687361101785,0.0005915551622705479
advection,1,1,1.4142135623730951,0.9955200544980488,0.015828107871122994,-0.004490010529567561,resonant,0.9992292343487298,0.015625,-0.003709179850680977,0.00020310787112299417
advection,1,2,2.23606797749979,0.993280614255594,0.032391352416364025,-0.006742062456265666,damped,0.9980741996281355,0.031249999999999997,-0.004793585372541487,0.0011413524163640283
